DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P3205;P3211;P3216;P3222;P3227;P8752;P3209;P3209S1;P3209S2;P3209S3;P3209S4;P3209S5;P3209S6;P3209S7;P3209S8;P3359;P3359S1;P3359S2;P3359S3;P3359S4;P3359S5;P3359S6;P3359S7;P3359S8;P3359S1A;P3359S2A;P3359S3A;P3359S4A;P3359S5A;P3359S6A;P3359S7A;P3359S8A;P3360;P3360S1;P3360S2;P3360S3;P3360S4;P3360S5;P3360S6;P3360S7;P3360S8;P3361;P3361S1;P3361S2;P3361S3;P3361S4;P3361S5;P3361S6;P3361S7
7567439;1;1;1;20.014.693.005;1;2;1;1;1;;;6;2;2;2;2;1;8;2;;4;3;2;2;2;4;;2;;;;;;;;;;1;1;1;1;1;1;;1;;;;;;;;
7567440;1;1;1;14.980.488.607;1;1;1;1;1;;;2;2;2;6;2;2;2;3;;1;2;1;2;1;4;4;1;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7567441;1;1;1;15.986.531.057;2;2;1;2;1;;;1;1;1;1;1;1;1;1;;4;4;4;4;4;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7567442;1;1;1;21.305.020.979;1;1;1;1;1;;;1;1;5;1;5;1;1;1;;4;4;3;2;3;4;4;4;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7569259;1;1;1;1.907.443.863;1;1;1;1;1;;;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7569260;1;1;1;17.762.812.285;1;2;1;2;1;;;1;1;1;1;1;1;1;1;;2;2;3;2;2;2;2;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7569261;1;1;1;14.342.601.879;1;1;1;2;1;;;2;2;2;2;2;2;2;2;;2;3;2;2;2;3;3;2;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7569262;1;1;1;81.540.568.009;1;1;1;2;2;;;3;3;3;3;2;3;2;2;;2;1;1;1;1;1;4;4;;;;;;;;;;1;1;1;1;3;1;1;1;;;;1;;;;
7574885;1;1;1;1.620.231.714;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;3;2;2;3;2;4;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
7574886;1;1;1;15.736.085.789;1;1;1;1;1;;;1;1;1;1;1;1;1;1;;3;3;2;3;2;3;4;3;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;
